_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	tokens	type
dry.foc10.nav.ppmi_weight.bound.min1.nav.5000	-0.042181587352511866	0.0036815922998068903	1004	1	nav	bound	ppmi_weight	10_10	5000.0	5000	nav	299	dry
dry.foc10.nav.ppmi_weight.bound.min1.nav.10000	-0.03754285218384611	-6.759356473066758e-4	1004	1	nav	bound	ppmi_weight	10_10	10000.0	10000	nav	299	dry
dry.foc10.nav.ppmi_weight.bound.min1.nav.foc	0.4426863904408716	-0.10460241540722932	1004	1	nav	bound	ppmi_weight	10_10	foc	1004	nav	299	dry
dry.foc10.nav.ppmi_weight.bound.min1.all.5000	-0.04154888917107976	0.003487285600603047	1004	1	nav	bound	ppmi_weight	10_10	5000	5000	all	299	dry
dry.foc10.nav.ppmi_weight.bound.min1.all.10000	-0.03782866140627947	-6.97465729228736e-4	1004	1	nav	bound	ppmi_weight	10_10	10000	10000	all	299	dry
dry.foc10.nav.ppmi_weight.bound.min1.all.foc	0.4426882561826896	-0.10459507912698607	1004	1	nav	bound	ppmi_weight	10_10	foc	1004	all	299	dry
dry.foc10.nav.ppmi_sel.bound.min1.nav.5000	-0.030807458729670868	0.02512259601762623	1004	1	nav	bound	ppmi_sel	10_10	5000	5000	nav	299	dry
dry.foc10.nav.ppmi_sel.bound.min1.nav.10000	-0.024035206091492147	0.019968181666500943	1004	1	nav	bound	ppmi_sel	10_10	10000	10000	nav	299	dry
dry.foc10.nav.ppmi_sel.bound.min1.nav.foc	0.37847796336300066	-0.16466500916229776	1004	1	nav	bound	ppmi_sel	10_10	foc	1004	nav	299	dry
dry.foc10.nav.ppmi_sel.bound.min1.all.5000	-0.030422993099524745	0.023811614482711557	1004	1	nav	bound	ppmi_sel	10_10	5000	5000	all	299	dry
dry.foc10.nav.ppmi_sel.bound.min1.all.10000	-0.024619696752318124	0.020271911359045224	1004	1	nav	bound	ppmi_sel	10_10	10000	10000	all	299	dry
dry.foc10.nav.ppmi_sel.bound.min1.all.foc	0.37848083375179953	-0.16465816476346726	1004	1	nav	bound	ppmi_sel	10_10	foc	1004	all	299	dry
