pmi	raw_freq	raw_co	cw
0.256693	147218	194	a/r
-0.04708813	16412	16	abandon/v
0.97978854	3680	10	abandoned/j
0.39499322	2644	4	abby/n
0.99524295	2533	7	abound/v
-0.8582009	956837	414	about/i
0.37369668	226568	336	about/r
0.38923192	25270	38	above/r
1.2994517	1606	6	abs/n
1.1892749	10420	35	absorb/v
-0.7652958	31511	15	academic/j
0.4931348	7201	12	accent/n
-1.2815228	52843	15	accept/v
-0.7141693	91879	46	according/i
-0.973493	20769	8	account/v
1.1603405	10472	34	acid/n
0.9686788	15638	42	acre/n
0.66900885	117286	234	across/i
2.9024527	108	2	activator/n
1.5083121	28793	133	active/j
-0.56766164	117688	68	actually/r
0.38331854	667	1	adage/n
0.9700595	12255	33	adapt/v
1.4574589	131718	578	add/v
-0.2360705	16143	13	adjust/v
-1.4492464	37496	9	admit/v
-0.11554719	31855	29	advantage/n
-0.0026398797	13720	14	advise/v
-0.5657913	20667	12	afford/v
-1.1023848	5899	2	afghan/j
-2.2819123	19189	2	afghanistan/n
0.18305643	34217	42	africa/n
-0.018069396	340799	342	after/i
0.43239278	35589	56	afternoon/n
-0.0009075698	223764	228	again/r
-0.4145352	219215	148	against/i
-0.8583203	41638	18	agent/n
0.978924	2576	7	agony/n
-1.1491871	40116	13	agreement/n
3.211328	40	1	agrelo/n
-0.44990286	6134	4	aid/v
-1.2233759	19946	6	aids/n
1.7707579	114396	686	air/n
-0.94064003	22606	9	airport/n
0.93803805	6517	17	aisle/n
-0.38437912	13015	9	alan/n
-0.94540143	7589	3	ali/n
-0.40258646	26405	18	alive/j
-0.15254079	190274	166	all/r
0.09988895	125580	142	allow/v
3.416413	32	1	alluvium/n
2.322266	3409	35	almond/n
0.35784873	137557	201	almost/r
0.6795861	92687	187	along/i
0.091859974	34850	39	along/r
-0.1789008	125267	107	already/r
-0.20689727	508808	423	also/r
-1.4023226	11930	3	alter/v
-0.19752893	195740	164	always/r
3.9382887	19	1	alyoshka/n
-0.62200046	1823	1	amazement/n
-0.49759734	17808	11	amazing/j
0.19873111	1604	2	amidst/i
2.5464978	690	9	amin/n
-0.55098313	151050	89	among/i
0.11133081	10523	12	anchor/n
